date,topic,speaker,text,category,text_length
2024-10-15,Programme for Government,Deputy Peadar Tóibín,"A week ago, I canvassed in a mid-size Irish town outside the greater Dublin area. I knocked on a door and the man who answered told me that within the past ten years six pubs, two hotels and two banks in the town had closed. He said people cannot get a hot meal in the town anymore. The town is similar to hundreds of other towns outside the greater Dublin area. In reality, there are two economies in this country. Anybody who has walked the main streets of most towns outside the greater Dublin area would say they are festooned with dereliction and empty buildings. Today, thousands of people are on Molesworth Street to protest the fact that their sector is being hammered. One man said his business is operating on quicksand and the Government is hiking the cost of doing business. The sector faces the most expensive electricity and among the dearest fuel costs in the whole of Europe. At the same time, businesses are being hammered on the tax side. The owners of small cafés, restaurants and pubs are hardly making a living, but are being put into the same category as massive hotels in Dublin that make millions of euro in profit. Will the Government consider splitting those two elements? In reality, there are two separate sectors with two separate business models. Will the Government reduce the VAT rate from 23% to 9% for those businesses? They are the heart and soul of most areas. If they are not allowed to function, the heart and soul of so many towns will be ripped out.",Government & Administration,1489
2025-03-27,Student Accommodation,Deputy James Lawless,"On ATU, I recently sanctioned the purchase of 16 acres by ATU Sligo. This is a site just opposite the college campus. The Deputy may be aware of it. That will come on stream in due course.",Housing,188
2024-10-17,Middle East,Deputy Brendan Smith,"As we all know, the situation in the Middle East is desperate. It has to be of the utmost concern to all of us. We have witnessed horrific scenes in Gaza, Lebanon and elsewhere. Unfortunately, the Israel Defense Forces again breached the blue line, including the Irish-Polish battalion area of operations. The situation is obviously very tense. I know the Tánaiste continues to monitor the situation closely with our partners in the UN. It is very important, in reassuring us as a country, that there is reassurance for the families who have members serving our country in those UNIFIL operations. We must ensure that those families are kept up to date with all developments and that their family members will remain safe.",Foreign Affairs & Trade,722
2025-02-11,Legislative Programme,Deputy Eoghan Kenny,I am looking for an update on the Government's plan to introduce the occupied territories Bill. It is good to get the opportunity. I thank Deputy Duncan Smith for the opportunity to raise this issue. Do I have 30 seconds?,Government & Administration,221
2025-04-08,Special Educational Needs,Deputy Michael Moynihan,"I thank the Deputy. The Government is fully committed to supporting children with special educational needs to reach their full potential. In the programme for Government, we have a number of commitments in that regard. Dedicated working groups have been established by the Department of Education to work through the details relating to the establishment of the five new special schools for the 2025-26 school year, including the new special school in County Monaghan. In the previous Dáil, I had the honour of chairing the disability committee and many of the groups that appeared before us spoke about the need for a special school in County Monaghan. The Deputy's colleague in the Seanad, Senator Tully, who was Leas-Chathaoirleach of our committee, was to the fore at the committee on that issue. We are establishing a new special school in County Monaghan under the patronage of Cavan and Monaghan Education and Training Board. This is a new school to be located in Castleblayney. It is a former school property, which is being repurposed to facilitate the opening of a new school. A principal for the new special school is currently being recruited. This role is critical to the special school's advancement of its enrolment policies and procedures as agreed with the school patron. The school will provide for students with a diagnosis of autism and complex learning needs, or students with complex learning needs with a professional recommendation for a special school. I understand that the school will initially admit 18 students and the application window for admissions closed last week. A number of information events for parents were held jointly by the ETB and the NCSE in recent weeks. The Deputy asked a specific question. At most of the departmental meetings, we discuss all of the special schools that are being established. The Department is keeping Cavan-Monaghan, and the Monaghan region in particular, under constant review as regards the number of children who will need a special school in the coming year.",Education & Childcare,2032
2025-02-27,Social Welfare Code,Deputy Liam Quaide,"The long-term prognosis for these healthcare workers is very unclear. They often suffer from a range of symptoms which include debilitating fatigue and malaise after very modest levels of activity and there is no clear treatment pathway for them. In some cases, healthcare workers have been out of work for between four and five years. Many were infected in early January 2021 following the so-called meaningful Christmas in which restrictions on movement were crudely lifted by the Government against public health expert advice, resulting in spiralling infection rates. That is something the State really needs to take into account. Many healthcare workers now afflicted with long Covid were particularly exposed to infection at the most critical stages of the pandemic in the course of providing vital care to others. This was at a time when many other workers were being protected by working from home. Some were not equipped with adequate PPE and many had not yet been called for vaccination at the time of infection. The State has a duty to look after them.",Social Welfare,1063
2024-10-02,Social Enterprise Sector,Deputy Roderic O'Gorman,"There is and, I think, will always remain a key place for the community model in the delivery of early-years services, and the social enterprise model is part of that. We have spent much of the morning discussing the issue of capacity. As to where there are shortages of capacity, I come to the following view now, at the end of four years in this role. We recognise that sometimes a private provider does not see the attractiveness of an area for a particular reason. Should we be relying on a social enterprise model, even with additional State supports, to step in, or is the best way to guarantee capacity, particularly in those areas of undersupply, for the State to step in directly? Personally, I am coming to the latter view, that we have done as much as we can with the existing model and brought a lot of improvements but it still has real challenges. That more active role for the State as the focus of the next government, whatever government it is, is probably the best way forward.",Economy & Business,995
2025-05-08,Official Engagements,Deputy Simon Harris,"I thank the Deputy for her own service and the unique insight she brings to debates in this House having served in Lebanon with our Defence Forces. I very much welcome the opportunity to update the House on my recent visit to Lebanon. A central focus of that visit on 26 March was on my meetings with the Lebanese Ministers for foreign affairs and defence. At those meetings, my first with both individuals, I left the Ministers in no doubt with regard to the absolute determination of the Government to ensure those responsible for Private Rooney’s death are brought to justice. During my meetings with both Ministers, I raised in the strongest terms our deep frustration at the slow pace of proceedings before the Lebanese military tribunal concerning those charged with Private Rooney's killing. I made it clear the lack of progress is causing enormous distress, particularly for the family of Private Rooney. We are mindful of the independence of Lebanon's judicial system but I reiterated that it is essential to see real movement and real accountability given the delays in the trial to date. I also noted the postponement of the most recent hearing of the trial on 12 February, with the next one not scheduled until 17 September. The Lebanese Ministers acknowledged the seriousness of the case and assured me of the commitment of the new Lebanese Government in bringing the perpetrators to justice. They also took the opportunity to express their condolences to the family of Private Rooney and to Ireland and their appreciation for Ireland's long-standing commitment to peacekeeping through UNIFIL. I conveyed to both Ministers our strong sense of frustration and I also formally handed over a letter to the Lebanese Minister for foreign affairs further underlining the importance of seeing urgent and concrete progress on this issue. While I was in Lebanon, I was delighted and honoured to see the men and women serving there, to see how they serve with absolute distinction, to see Camp Shamrock and to see a contingent that has spent so much of their time over there in bunkers. At that stage they had been there for approximately five months and the equivalent of one month had been spent in bunkers, just to give a sense of the volatility of the region. I was very pleased to see when I was there, though, that those serving there were back out on patrols and that the situation, while it can always change, was a little bit more stable. I know many of the personnel have served with distinction. They were beginning to think about coming home as well and looking forward to reuniting with family. I was honoured to be in Renmore Barracks for the review of our troops before the 126th Battalion heads off in the coming days. I take the opportunity again to thank everyone who has served with the UNIFIL mission. I thank all the men and women of Óglaigh na hÉireann, including the Deputy, for their service. We should be very proud as a country of the great contribution our peacekeepers have made around the world and particularly in Lebanon.",Government & Administration,3055
2025-02-26,Military Neutrality,Deputy Richard Boyd Barrett,"The point of the UN part of the triple lock is that we do not deploy troops in conflicts between the big imperial powers. The Minister is right: Putin is a nasty imperialist aggressor. However, is it not interesting that he does not call Trump a nasty imperialist aggressor when he has just said to the Ukrainians, ""We might consider giving you a few weapons, but only if you give us all those raw materials in your country"", or while he is trying to do a real estate deal on top of the broken bones and bodies of the victims of genocide in Gaza. The Minister does not mention him as an imperialist or the new German Chancellor who has invited Netanyahu, a wanted war criminal, to Germany which is also involved in NATO. He does not mention them and that is the truth of it. The Minister wants to get rid of the triple lock so we can deploy Irish troops to get involved in conflicts headed up by military alliances dominated by the United States, Britain and Germany - people who are every bit potentially, and often in reality, as nasty as the Russians.",Defence & Security,1054
2025-04-08,Special Educational Needs,An Cathaoirleach Gníomhach (Deputy Mattie McGrath),"No, the time has elapsed for the questions. We are on to Topical Issues. I am sorry. I hope Deputy O'Sullivan got his answer.",Education & Childcare,125
2025-04-08,Schools Building Projects,Deputy Helen McEntee,"Insofar as possible, where there are new builds or where schools have to be moved, the Department always attempts to keep some of the play space and to make sure it is not completely taken. The Department also ensures play areas are part and parcel of the development of new builds, be it PE halls inside the school or covered areas for children to be able to use in bad weather or if they do not have outdoor space. It is always a priority to make sure a play space is provided when new schools are developed or when schools are being moved or that such space can be accommodated or provided in another setting. It is not always possible or straightforward but it is something the Department prioritises. This also comes back to Deputy Boland's question on what in particular is being done to try to support schools and principals. Work has been done in that regard. There are officers and project managers who directly support principals and schools. Again, maybe it is a matter of looking at how that is working and how we can somehow improve it.",Education & Childcare,1049
2025-05-01,Official Engagements,Deputy Peter Burke,"We have banned zero-hour contracts. We have worked to bring in tips and gratuities legislation to protect the most vulnerable workers. We have introduced a sick pay scheme that is ever-present. We were clear in our manifesto before we went into government that, at this point in time, we did not feel we could extend it any further. We have commissioned a review of employment legislation. We have committed to an action plan for collective bargaining in respect of which public consultation is now underway. In all those areas, as well as in the context of additional rights such as that to request remote working, supporting workers and significant increases in the minimum wage over the past number of years, no Government has done more for workers' rights than this Administration and those that preceded it. That is a fact.",Government & Administration,828
2024-07-04,Road Tolls,Deputy Aindrias Moynihan,"New roads with tolls are often associated with public private partnership, where funding had been brought in to build that road. I understand that is not the case with this road, or is it? Can the Minister outline whether it is proposed that it will be a PPP, or why there would be any possibility of a toll on the road? Second, we see that there would be congestion charges in, for example, city centres. They would be associated with discouraging traffic from entering the place and pushing them over to alternatives. It would seem counterintuitive to spend large sums of money building infrastructure and installing a fee to discourage people and push them away to an alternative road that we currently know is unsafe and dangerous, and there are not any other alternatives available. I want to understand the rationale for any proposed toll.",Transport & Infrastructure,845
2025-05-08,Departmental Policies,Deputy Donna McGettigan,We are looking for the new aviation policy to be reviewed. I have heard the Minister say it will be reviewed. I understand that we have to get this right but this clearly needs to be done as a matter of urgency. The Minister has not given us clear timelines on this. Perhaps the Minister could really push this and give us clear timelines.,Government & Administration,339
2025-05-22,Further and Higher Education,Deputy James Lawless,"I agree with the Deputy and I thank him for those points on access to the system for those who maybe would not have had that given they were coming from backgrounds where traditionally education or higher education was not a feature. The further education sector has been so progressive and has led so much in making education accessible to so many more families in a community setting and closer to home. It has made it easier to access education, despite economic reasons, family reasons or caring reasons, and has provided a welcome to, and has embraced, people. There is a very exciting new development relating to tertiary degrees, of which the Deputy is probably aware. I recently met many tertiary degree students from around the country at an event in Grangegorman. The option is there for students to start their training or educational journey in a college of further education in a local area closer to home, which makes it easier on many fronts. After one or two years in a college of further education they can then progress a to a more traditional higher education institution and go on to degree-level accreditation. That is a wonderful journey. There are many more opportunities. The Minister of State, Deputy Harkin, and I visited the National Construction Training Centre in Mount Lucas, County Offaly, yesterday. The careers that are opening up in construction are huge. Very exciting new journeys are opening there as well.",Education & Childcare,1443
2025-06-26,Local Authorities,Deputy John Connolly,"The GAA has done a lot of analysis of its activities in different parts of the country. It is concerned about the future organisation of the GAA in some urban communities because the lack of playing space will limit its ability to undertake activities and increase its membership among new communities. That is worth noting in this debate. As a concrete example, in 2017 Galway City Council developed the Kingston master plan for an area quite close to where I live. It was to include playgrounds, changing rooms, outdoor gym equipment, pedestrian walkway, cycle paths, a pitch and ancillary facilities. We are yet to see that go to planning. We have been talking about it for eight years but, due to the challenge of financing it and some of the land not yet being in local authority ownership, it has not come to fruition. The Minister of State noted the challenge of purchasing land not currently covered by the sports capital grant. We could have something like the Housing Finance Agency for local authorities to allow them to draw down long-term loans at low interest rates for the purchase of land specifically for community and sporting facilities.",Government & Administration,1156
